TYPE,VALUE,OPTION_A,OPTION_B,OPTION_C,OPTION_D,OPTION_E,OPTION_F,OPTION_G,OPTION_H,CORRECT_ANSWER,CORRECT_BLANK_1,CORRECT_BLANK_2,CORRECT_BLANK_3
QUESTION,"Which planet is known as the 'Red Planet'?",Jupiter,Venus,Mars,Saturn,Uranus,Mercury,Earth,Neptune,C,,,
QUESTION,"What is the chemical symbol for Gold?",Ag,Au,Fe,Pb,Cu,Na,H,O,B,,,
QUESTION,"Who wrote the play 'Romeo and Juliet'?",Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,Leo Tolstoy,Homer,George Orwell,J.K. Rowling,B,,,
QUESTION,"Fill the blank: 1, 4, 9, 16, 25, ___",30,36,49,64,81,100,121,144,B,36,,,
QUESTION,"The capital city of Australia is:",Sydney,Melbourne,Canberra,Perth,Brisbane,Adelaide,Hobart,Darwin,C,,,
QUESTION,"Which geometric shape has exactly five sides?",Triangle,Square,Hexagon,Pentagon,Octagon,Heptagon,Nonagon,Decagon,D,,,
QUESTION,"What is the largest organ in the human body?",Heart,Brain,Liver,Skin,Lungs,Kidney,Stomach,Spleen,D,,,
QUESTION,"If 'Water' is called 'Air', 'Air' is called 'Fire', 'Fire' is called 'Mist', and 'Mist' is called 'Rain', what do you drink?",Water,Air,Fire,Mist,Rain,Clouds,Ice,Smoke,B,,,
QUESTION,"Which number is the next prime number after 17?",19,21,23,25,27,29,31,33,A,,,
QUESTION,"Analogy: 'Oven' is to 'Bake' as 'Skillet' is to ___",Boil,Fry,Freeze,Stir,Slice,Dice,Grill,Steam,B,,,
